key,order_id,product_id,differences
CA-2015-131450-FUR-FU-10001979,CA-2015-131450,FUR-FU-10001979,"{'Product Name': {'source_value': 'Dana Halogen Swing-Arm Architect Lamp', 'target_value': 'dana halogen swing-arm architect lamp'}}"
CA-2017-147683-FUR-FU-10004848,CA-2017-147683,FUR-FU-10004848,"{'Product Name': {'source_value': 'DAX Solid Wood Frames', 'target_value': 'dax solid wood frames'}}"
CA-2018-140872-OFF-AP-10002287,CA-2018-140872,OFF-AP-10002287,"{'Product Name': {'source_value': 'Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags', 'target_value': 'eureka sanitaire  multi-pro heavy-duty upright, disposable bags'}}"
CA-2016-142433-OFF-PA-10002377,CA-2016-142433,OFF-PA-10002377,"{'Product Name': {'source_value': 'Xerox 1916', 'target_value': 'xerox 1916'}}"
CA-2016-110457-FUR-TA-10001768,CA-2016-110457,FUR-TA-10001768,"{'Product Name': {'source_value': 'Hon Racetrack Conference Tables', 'target_value': 'hon racetrack conference tables'}}"
CA-2015-133228-FUR-FU-10004020,CA-2015-133228,FUR-FU-10004020,"{'Product Name': {'source_value': 'Advantus Panel Wall Acrylic Frame', 'target_value': 'advantus panel wall acrylic frame'}}"
CA-2017-103730-TEC-PH-10003875,CA-2017-103730,TEC-PH-10003875,"{'Product Name': {'source_value': 'KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7', 'target_value': 'kld oscar ii style snap-on ultra thin side flip synthetic leather cover case for htc one htc m7'}}"
CA-2018-100951-OFF-ST-10001496,CA-2018-100951,OFF-ST-10001496,"{'Product Name': {'source_value': 'Standard Rollaway File with Lock', 'target_value': 'standard rollaway file with lock'}}"
CA-2018-151176-OFF-AR-10000614,CA-2018-151176,OFF-AR-10000614,"{'Product Name': {'source_value': 'Barrel Sharpener', 'target_value': 'barrel sharpener'}}"
CA-2018-166898-OFF-PA-10002262,CA-2018-166898,OFF-PA-10002262,"{'Product Name': {'source_value': 'Xerox 192', 'target_value': 'xerox 192'}}"
CA-2018-140949-OFF-LA-10004093,CA-2018-140949,OFF-LA-10004093,"{'Product Name': {'source_value': 'Avery 486', 'target_value': 'avery 486'}}"
CA-2017-106656-OFF-LA-10003148,CA-2017-106656,OFF-LA-10003148,"{'Product Name': {'source_value': 'Avery 51', 'target_value': 'avery 51'}}"
CA-2018-157651-TEC-AC-10003116,CA-2018-157651,TEC-AC-10003116,"{'Product Name': {'source_value': 'Memorex Froggy Flash Drive 8 GB', 'target_value': 'memorex froggy flash drive 8 gb'}}"
CA-2015-167199-OFF-FA-10001883,CA-2015-167199,OFF-FA-10001883,"{'Product Name': {'source_value': 'Alliance Super-Size Bands, Assorted Sizes', 'target_value': 'alliance super-size bands, assorted sizes'}}"
US-2015-147704-OFF-ST-10000675,US-2015-147704,OFF-ST-10000675,"{'Product Name': {'source_value': 'File Shuttle II and Handi-File, Black', 'target_value': 'file shuttle ii and handi-file, black'}}"
CA-2016-121720-FUR-CH-10003312,CA-2016-121720,FUR-CH-10003312,"{'Product Name': {'source_value': 'Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs', 'target_value': 'hon 2090 “pillow soft” series mid back swivel/tilt chairs'}}"
CA-2016-120103-TEC-PH-10002170,CA-2016-120103,TEC-PH-10002170,"{'Product Name': {'source_value': 'ClearSounds CSC500 Amplified Spirit Phone Corded phone', 'target_value': 'clearsounds csc500 amplified spirit phone corded phone'}}"
CA-2017-120824-FUR-CH-10000229,CA-2017-120824,FUR-CH-10000229,"{'Product Name': {'source_value': 'Global Enterprise Series Seating High-Back Swivel/Tilt Chairs', 'target_value': 'global enterprise series seating high-back swivel/tilt chairs'}}"
CA-2018-166709-TEC-CO-10004722,CA-2018-166709,TEC-CO-10004722,"{'Product Name': {'source_value': 'Canon imageCLASS 2200 Advanced Copier', 'target_value': 'canon imageclass 2200 advanced copier'}}"
CA-2017-141397-FUR-CH-10003846,CA-2017-141397,FUR-CH-10003846,"{'Product Name': {'source_value': 'Hon Valutask Swivel Chairs', 'target_value': 'hon valutask swivel chairs'}}"
CA-2015-102869-TEC-AC-10002134,CA-2015-102869,TEC-AC-10002134,"{'Product Name': {'source_value': 'Rosewill 107 Normal Keys USB Wired Standard Keyboard', 'target_value': 'rosewill 107 normal keys usb wired standard keyboard'}}"
US-2018-165456-FUR-CH-10003981,US-2018-165456,FUR-CH-10003981,"{'Product Name': {'source_value': 'Global Commerce Series Low-Back Swivel/Tilt Chairs', 'target_value': 'global commerce series low-back swivel/tilt chairs'}}"
CA-2015-145387-OFF-AR-10001683,CA-2015-145387,OFF-AR-10001683,"{'Product Name': {'source_value': 'Lumber Crayons', 'target_value': 'lumber crayons'}}"
CA-2015-109918-OFF-SU-10004290,CA-2015-109918,OFF-SU-10004290,"{'Product Name': {'source_value': 'Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut', 'target_value': 'acme design line 8"" stainless steel bent scissors w/champagne handles, 3-1/8"" cut'}}"
CA-2016-165057-OFF-LA-10003190,CA-2016-165057,OFF-LA-10003190,"{'Product Name': {'source_value': 'Avery 474', 'target_value': 'avery 474'}}"
CA-2016-101154-OFF-ST-10004186,CA-2016-101154,OFF-ST-10004186,"{'Product Name': {'source_value': 'Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D', 'target_value': 'stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d'}}"
CA-2016-166464-TEC-CO-10000971,CA-2016-166464,TEC-CO-10000971,"{'Product Name': {'source_value': 'Hewlett Packard 310 Color Digital Copier', 'target_value': 'hewlett packard 310 color digital copier'}}"
CA-2018-144491-FUR-CH-10004063,CA-2018-144491,FUR-CH-10004063,"{'Product Name': {'source_value': ""Global Deluxe High-Back Manager's Chair"", 'target_value': ""global deluxe high-back manager's chair""}}"
US-2017-157490-OFF-BI-10002824,US-2017-157490,OFF-BI-10002824,"{'Product Name': {'source_value': 'Recycled Easel Ring Binders', 'target_value': 'recycled easel ring binders'}}"
CA-2017-101651-OFF-EN-10001990,CA-2017-101651,OFF-EN-10001990,"{'Product Name': {'source_value': 'Staple envelope', 'target_value': 'staple envelope'}}"
CA-2018-107727-OFF-PA-10000249,CA-2018-107727,OFF-PA-10000249,"{'Product Name': {'source_value': 'Easy-staple paper', 'target_value': 'easy-staple paper'}}"
CA-2016-167374-OFF-PA-10001950,CA-2016-167374,OFF-PA-10001950,"{'Product Name': {'source_value': 'Southworth 25% Cotton Antique Laid Paper & Envelopes', 'target_value': 'southworth 25% cotton antique laid paper & envelopes'}}"
CA-2016-134894-OFF-AP-10001271,CA-2016-134894,OFF-AP-10001271,"{'Product Name': {'source_value': 'Eureka The Boss Cordless Rechargeable Stick Vac', 'target_value': 'eureka the boss cordless rechargeable stick vac'}}"
CA-2017-145583-FUR-FU-10001706,CA-2017-145583,FUR-FU-10001706,"{'Product Name': {'source_value': 'Longer-Life Soft White Bulbs', 'target_value': 'longer-life soft white bulbs'}}"
CA-2018-155292-FUR-CH-10000553,CA-2018-155292,FUR-CH-10000553,"{'Product Name': {'source_value': 'Metal Folding Chairs, Beige, 4/Carton', 'target_value': 'metal folding chairs, beige, 4/carton'}}"
CA-2017-115756-OFF-ST-10000060,CA-2017-115756,OFF-ST-10000060,"{'Product Name': {'source_value': 'Fellowes Bankers Box Staxonsteel Drawer File/Stacking System', 'target_value': 'fellowes bankers box staxonsteel drawer file/stacking system'}}"
CA-2015-102673-OFF-AR-10000634,CA-2015-102673,OFF-AR-10000634,"{'Product Name': {'source_value': 'Newell 320', 'target_value': 'newell 320'}}"
CA-2015-159800-TEC-AC-10003447,CA-2015-159800,TEC-AC-10003447,"{'Product Name': {'source_value': 'Micropad Numeric Keypads', 'target_value': 'micropad numeric keypads'}}"
CA-2017-146143-FUR-FU-10002045,CA-2017-146143,FUR-FU-10002045,"{'Product Name': {'source_value': 'Executive Impressions 14""', 'target_value': 'executive impressions 14""'}}"
US-2016-138121-FUR-CH-10003817,US-2016-138121,FUR-CH-10003817,"{'Product Name': {'source_value': 'Global Value Steno Chair, Gray', 'target_value': 'global value steno chair, gray'}}"
US-2016-147662-OFF-BI-10002160,US-2016-147662,OFF-BI-10002160,"{'Product Name': {'source_value': 'Acco Hanging Data Binders', 'target_value': 'acco hanging data binders'}}"
CA-2015-112326-OFF-ST-10002743,CA-2015-112326,OFF-ST-10002743,"{'Product Name': {'source_value': 'SAFCO Boltless Steel Shelving', 'target_value': 'safco boltless steel shelving'}}"
CA-2018-146920-OFF-PA-10001461,CA-2018-146920,OFF-PA-10001461,"{'Product Name': {'source_value': 'HP Office Paper (20Lb. and 87 Bright)', 'target_value': 'hp office paper (20lb. and 87 bright)'}}"
CA-2018-166856-TEC-AC-10004992,CA-2018-166856,TEC-AC-10004992,"{'Product Name': {'source_value': 'Kingston Digital DataTraveler 64GB USB 2.0', 'target_value': 'kingston digital datatraveler 64gb usb 2.0'}}"
CA-2018-151211-TEC-AC-10004510,CA-2018-151211,TEC-AC-10004510,"{'Product Name': {'source_value': 'Logitech Desktop MK120 Mouse and keyboard Combo', 'target_value': 'logitech desktop mk120 mouse and keyboard combo'}}"
CA-2017-161746-FUR-CH-10004626,CA-2017-161746,FUR-CH-10004626,"{'Product Name': {'source_value': 'Office Star Flex Back Scooter Chair with Aluminum Finish Frame', 'target_value': 'office star flex back scooter chair with aluminum finish frame'}}"
US-2018-107979-TEC-AC-10002006,US-2018-107979,TEC-AC-10002006,"{'Product Name': {'source_value': 'Memorex Micro Travel Drive 16 GB', 'target_value': 'memorex micro travel drive 16 gb'}}"
CA-2015-116246-FUR-CH-10002024,CA-2015-116246,FUR-CH-10002024,"{'Product Name': {'source_value': 'HON 5400 Series Task Chairs for Big and Tall', 'target_value': 'hon 5400 series task chairs for big and tall'}}"
CA-2018-101959-OFF-BI-10001757,CA-2018-101959,OFF-BI-10001757,"{'Product Name': {'source_value': 'Pressboard Hanging Data Binders for Unburst Sheets', 'target_value': 'pressboard hanging data binders for unburst sheets'}}"
CA-2018-140326-FUR-BO-10000112,CA-2018-140326,FUR-BO-10000112,"{'Product Name': {'source_value': 'Bush Birmingham Collection Bookcase, Dark Cherry', 'target_value': 'bush birmingham collection bookcase, dark cherry'}}"
CA-2016-129532-TEC-AC-10000865,CA-2016-129532,TEC-AC-10000865,"{'Product Name': {'source_value': 'WD My Passport Ultra 500GB Portable External Hard Drive', 'target_value': 'wd my passport ultra 500gb portable external hard drive'}}"
US-2016-127040-OFF-PA-10001184,US-2016-127040,OFF-PA-10001184,"{'Product Name': {'source_value': 'Xerox 1903', 'target_value': 'xerox 1903'}}"
CA-2018-168109-TEC-MA-10001148,CA-2018-168109,TEC-MA-10001148,"{'Product Name': {'source_value': 'Okidata MB491 Multifunction Printer', 'target_value': 'okidata mb491 multifunction printer'}}"
CA-2018-122539-OFF-LA-10004853,CA-2018-122539,OFF-LA-10004853,"{'Product Name': {'source_value': 'Avery 483', 'target_value': 'avery 483'}}"
US-2017-155173-TEC-PH-10002538,US-2017-155173,TEC-PH-10002538,"{'Product Name': {'source_value': 'Grandstream GXP1160 VoIP phone', 'target_value': 'grandstream gxp1160 voip phone'}}"
CA-2015-129189-OFF-BI-10000494,CA-2015-129189,OFF-BI-10000494,"{'Product Name': {'source_value': 'Acco Economy Flexible Poly Round Ring Binder', 'target_value': 'acco economy flexible poly round ring binder'}}"
CA-2016-128083-OFF-EN-10004030,CA-2016-128083,OFF-EN-10004030,"{'Product Name': {'source_value': 'Convenience Packs of Business Envelopes', 'target_value': 'convenience packs of business envelopes'}}"
CA-2016-107678-FUR-FU-10003394,CA-2016-107678,FUR-FU-10003394,"{'Product Name': {'source_value': 'Tenex ""The Solids"" Textured Chair Mats', 'target_value': 'tenex ""the solids"" textured chair mats'}}"
CA-2017-159373-FUR-TA-10004619,CA-2017-159373,FUR-TA-10004619,"{'Product Name': {'source_value': 'Hon Non-Folding Utility Tables', 'target_value': 'hon non-folding utility tables'}}"
CA-2016-140984-OFF-ST-10000585,CA-2016-140984,OFF-ST-10000585,"{'Product Name': {'source_value': 'Economy Rollaway Files', 'target_value': 'economy rollaway files'}}"
CA-2018-152975-FUR-CH-10003298,CA-2018-152975,FUR-CH-10003298,"{'Product Name': {'source_value': 'Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal', 'target_value': 'office star - contemporary task swivel chair with loop arms, charcoal'}}"
CA-2017-168753-OFF-BI-10002557,CA-2017-168753,OFF-BI-10002557,"{'Product Name': {'source_value': 'Presstex Flexible Ring Binders', 'target_value': 'presstex flexible ring binders'}}"
CA-2018-164364-OFF-AR-10000315,CA-2018-164364,OFF-AR-10000315,"{'Product Name': {'source_value': 'Dixon Ticonderoga Maple Cedar Pencil, #2', 'target_value': 'dixon ticonderoga maple cedar pencil, #2'}}"
CA-2017-106530-OFF-PA-10004451,CA-2017-106530,OFF-PA-10004451,"{'Product Name': {'source_value': 'Xerox 222', 'target_value': 'xerox 222'}}"
CA-2017-165169-OFF-LA-10000407,CA-2017-165169,OFF-LA-10000407,"{'Product Name': {'source_value': 'Avery White Multi-Purpose Labels', 'target_value': 'avery white multi-purpose labels'}}"
CA-2016-119690-OFF-LA-10001613,CA-2016-119690,OFF-LA-10001613,"{'Product Name': {'source_value': 'Avery File Folder Labels', 'target_value': 'avery file folder labels'}}"
CA-2017-140613-OFF-SU-10004261,CA-2017-140613,OFF-SU-10004261,"{'Product Name': {'source_value': 'Fiskars 8"" Scissors, 2/Pack', 'target_value': 'fiskars 8"" scissors, 2/pack'}}"
US-2015-131275-FUR-FU-10004597,US-2015-131275,FUR-FU-10004597,"{'Product Name': {'source_value': 'Eldon Cleatmat Chair Mats for Medium Pile Carpets', 'target_value': 'eldon cleatmat chair mats for medium pile carpets'}}"
CA-2017-131205-OFF-ST-10002583,CA-2017-131205,OFF-ST-10002583,"{'Product Name': {'source_value': 'Fellowes Neat Ideas Storage Cubes', 'target_value': 'fellowes neat ideas storage cubes'}}"
